b.MP4 | 00:11:10.031=no, 00:23:38.023=yes, 00:27:49.793=yes
b2.MP4 | 00:02:44.800=no, 00:00:35.314=no, 00:01:03.993=no, 00:07:31.232=no, 00:01:18.448=no
ba.MP4 | 00:09:12.888=no, 00:03:02.974=no, 00:00:52.320=no
ba2.MP4 | 00:04:49.130=yes
ba3.MP4 | 00:01:43.315=yes, 00:01:29.265=yes, 00:04:34.510=yes
ba4.MP4 | 00:03:55.623=yes, 00:01:07.396=yes
ba5.MP4 | 00:00:49.468=no, 00:01:34.989=no, 00:01:39.217=no, 00:01:43.709=no, 00:01:52.518=no
ba6.MP4 | 00:16:08.862=no, 00:23:17.295=no, 00:10:54.619=no, 00:13:47.956=no, 00:03:28.617=yes
ba7.MP4 | 00:01:04.691=no, 00:01:21.332=no, 00:01:29.890=no
bb.MP4 | 00:00:13.673=no, 00:00:30.721=no, 00:00:19.278=no
bb2.MP4 | 00:06:54.402=no, 00:03:19.654=yes
bd.MP4 | 00:08:25.515=no, 00:30:24.470=yes, 00:05:06.283=yes
bd2.MP4 | 00:04:18.246=no, 00:08:28.703=no, 00:02:37.409=yes, 00:07:20.569=no, 00:01:53.163=yes
bd3.MP4 | 00:00:34.551=yes, 00:00:19.811=no
bg.MP4 | 00:08:39.749=no, 00:12:30.077=no, 00:11:36.997=yes
bg2.MP4 | 00:00:37.136=yes
bh.MP4 | 00:18:41.716=yes, 00:08:41.188=no, 00:04:33.915=no, 00:18:35.817=yes, 00:12:44.162=yes
bh2.MP4 | 00:01:15.014=yes, 00:00:53.408=yes, 00:02:36.136=yes, 00:02:38.400=yes
bk.MP4 | 00:19:27.778=no, 00:15:32.495=no, 00:30:29.838=yes, 00:01:10.357=no, 00:28:58.931=yes
bk2.MP4 | 00:00:45.283=yes, 00:07:12.197=no, 00:06:35.303=yes, 00:01:14.305=yes, 00:09:14.149=yes
bkb.MP4 | 00:03:30.516=no, 00:13:45.983=no, 00:19:02.754=no, 00:06:32.407=yes, 00:12:39.470=no
bla.MP4 | 00:01:48.872=no, 00:00:32.608=no, 00:00:20.117=no
bla2.MP4 | 00:24:29.331=yes, 00:32:09.242=yes, 00:28:29.784=yes
bla3.MP4 | 00:01:31.561=no, 00:00:42.473=no, 00:01:47.589=no, 00:01:52.312=no
blr.MP4 | 00:01:03.033=no, 00:01:20.633=yes, 00:01:10.666=yes, 00:00:15.200=no
blr2.MP4 | 00:00:30.601=no, 00:01:07.426=no, 00:02:20.176=no, 00:00:05.389=no, 00:00:36.664=no, 00:01:28.564=no
bm.MP4 | 00:22:09.770=yes, 00:20:22.000=yes
bm2.MP4 | 00:00:16.426=no, 00:01:02.636=yes
bmsn1.MP4 | 00:07:16.408=no, 00:28:02.500=no, 00:18:45.598=no
bmsn2.MP4 | 00:01:11.567=no, 00:03:11.386=no
bmsn3.MP4 | 00:00:04.031=yes, 00:00:39.950=no, 00:00:05.211=yes, 00:00:27.169=yes, 00:00:24.252=no
bre.MP4 | 00:00:08.308=no, 00:00:16.392=no, 00:00:11.886=no
brp.MP4 | 00:38:36.314=yes, 00:18:57.411=no, 00:07:25.997=no, 00:17:35.006=no, 00:17:56.712=no
brw.MP4 | 00:02:21.572=no, 00:07:01.684=no, 00:07:06.343=no, 00:07:10.783=no, 00:08:30.292=no, 00:01:27.857=no, 00:02:47.617=no, 00:07:24.571=no, 00:07:20.413=yes, 00:07:28.886=yes
brw2.MP4 | 00:04:00.244=yes, 00:03:42.408=yes, 00:01:10.518=yes, 00:00:43.184=yes
brw4.MP4 | 00:00:25.614=no, 00:00:57.119=no, 00:00:27.690=no, 00:00:15.570=yes, 00:00:15.783=yes
bs.MP4 | 00:28:06.188=no
bsn.MP4 | 00:04:06.462=no
bsn2.MP4 | 00:01:04.826=yes
bsw.MP4 | 00:04:48.445=no, 00:07:25.028=no
btan.MP4 | 00:00:56.792=no, 00:02:00.047=no, 00:02:53.888=yes, 00:03:55.204=yes, 00:00:18.715=no
btr.MP4 | 00:00:49.300=yes, 00:01:51.845=yes
btr2.MP4 | 00:01:54.621=yes, 00:00:19.108=yes, 00:02:24.951=no, 00:00:58.257=no, 00:02:32.809=yes, 00:02:36.907=yes
btr3.MP4 | 00:05:20.501=no, 00:05:18.434=no, 00:03:08.366=no, 00:05:01.862=no, 00:01:08.950=no
btur.MP4 | 00:08:46.150=no, 00:12:39.015=no, 00:07:27.588=no
bu.MP4 | 00:00:37.416=no, 00:06:37.493=yes, 00:09:22.376=no, 00:03:15.194=no
cb.MP4 | 00:00:52.619=no, 00:00:44.293=no, 00:01:34.700=no, 00:01:58.180=no, 00:01:18.700=no
cnb.MP4 | 00:00:21.497=no, 00:02:28.533=no, 00:01:19.311=no, 00:01:20.753=no
cnb2.MP4 | 00:00:15.450=yes, 00:00:43.122=yes, 00:00:09.990=yes, 00:00:24.275=yes
cnb3.MP4 | 00:01:07.775=yes, 00:01:26.979=yes, 00:01:34.065=yes, 00:01:27.321=yes, 00:02:03.306=no, 00:01:27.011=yes
dbg.MP4 | 00:03:11.985=no, 00:03:33.413=yes
dt.MP4 | 00:00:11.153=yes, 00:01:17.847=yes, 00:00:14.053=yes
fort.MP4 | 00:03:09.891=yes
fort2.MP4 | 00:00:23.193=yes, 00:00:53.329=yes, 00:00:55.292=yes
fort3.MP4 | 00:03:31.892=yes, 00:02:54.954=yes, 00:01:26.666=yes, 00:00:28.687=no, 00:00:58.548=yes, 00:01:09.975=yes
fort4.MP4 | 00:05:27.977=yes, 00:06:19.378=yes, 00:02:05.073=yes, 00:10:20.171=yes, 00:04:01.608=yes, 00:00:21.389=no, 00:09:00.303=yes, 00:08:18.646=yes
fort5.MP4 | 00:02:41.513=yes, 00:02:05.348=no, 00:00:59.027=yes
fp.MP4 | 00:06:15.659=yes, 00:04:40.716=yes
ga.MP4 | 00:10:33.354=no, 00:02:00.633=no, 00:18:01.182=no, 00:01:10.808=no, 00:04:00.646=no
ga2.MP4 | 00:00:13.525=no, 00:00:05.967=yes, 00:00:08.540=no, 00:00:17.384=no, 00:00:15.079=no, 00:00:06.968=yes
